,entity,event
44_4ecbplus_1,6,9
37_1ecb_0,6,7
40_1ecbplus_2,6,7
44_8ecbplus_2,6,7
18_2ecbplus_2,6,6
40_3ecbplus_1,6,6
44_5ecbplus_2,6,6
44_7ecbplus_3,6,6
3_8ecbplus_3,6,6
4_2ecbplus_2,6,6
11_2ecbplus_2,6,6
43_7ecb_2,6,5
36_5ecbplus_1,6,5
43_9ecbplus_2,6,5
44_15ecbplus_2,6,5
45_1ecbplus_2,6,5
24_4ecb_0,6,5
27_11ecb_1,6,5
27_12ecb_1,6,5
27_17ecb_1,6,5
28_13ecb_1,6,5
31_9ecb_4,6,5
3_10ecbplus_2,6,5
3_2ecbplus_2,6,5
8_1ecbplus_4,6,5
20_11ecbplus_4,6,5
28_2ecbplus_2,6,5
30_12ecbplus_2,6,5
30_9ecbplus_5,6,5
33_5ecbplus_6,6,5
12_2ecb_0,6,4
21_13ecbplus_2,6,4
36_6ecb_1,6,4
37_5ecb_0,6,4
39_13ecb_0,6,4
44_6ecbplus_3,6,4
45_12ecbplus_1,6,4
1_18ecb_0,6,4
26_4ecb_1,6,4
27_15ecb_1,6,4
31_3ecb_0,6,4
32_8ecb_0,6,4
1_9ecbplus_4,6,4
4_4ecbplus_3,6,4
16_5ecbplus_2,6,4
19_10ecbplus_1,6,4
19_11ecbplus_2,6,4
19_6ecbplus_14,6,4
19_8ecbplus_1,6,4
24_10ecbplus_2,6,4
24_1ecbplus_1,6,4
32_5ecbplus_2,6,4
33_7ecbplus_4,6,4
12_11ecb_0,6,3
12_18ecb_0,6,3
40_2ecb_1,6,3
41_3ecb_0,6,3
41_10ecbplus_1,6,3
43_7ecbplus_2,6,3
45_7ecbplus_3,6,3
4_3ecb_0,6,3
7_8ecb_0,6,3
8_7ecb_1,6,3
22_4ecb_0,6,3
22_7ecb_0,6,3
25_8ecb_1,6,3
27_16ecb_2,6,3
27_3ecb_3,6,3
27_4ecb_1,6,3
28_7ecb_1,6,3
29_3ecb_1,6,3
31_13ecb_0,6,3
1_14ecbplus_3,6,3
3_11ecbplus_4,6,3
3_1ecbplus_4,6,3
16_11ecbplus_4,6,3
27_10ecbplus_3,6,3
27_10ecbplus_2,6,3
29_12ecbplus_2,6,3
29_1ecbplus_5,6,3
32_1ecbplus_2,6,3
2_7ecb_0,6,2
18_4ecbplus_3,6,2
34_12ecbplus_3,6,2
40_7ecb_0,6,2
42_4ecb_0,6,2
7_5ecb_0,6,2
9_3ecb_0,6,2
24_6ecb_0,6,2
27_5ecb_2,6,2
31_14ecb_4,6,2
3_8ecbplus_5,6,2
29_6ecbplus_4,6,2
39_6ecb_0,6,1
39_8ecb_0,6,1
8_2ecbplus_2,5,10
44_14ecbplus_2,5,8
1_14ecb_2,5,7
29_4ecbplus_2,5,7
18_1ecb_0,5,6
2_8ecbplus_2,5,6
21_11ecbplus_1,5,6
21_13ecbplus_1,5,6
21_8ecbplus_1,5,6
45_7ecbplus_2,5,6
45_8ecbplus_2,5,6
28_9ecbplus_2,5,6
30_13ecbplus_3,5,6
33_6ecbplus_8,5,6
2_11ecbplus_3,5,5
18_2ecbplus_0,5,5
35_2ecbplus_2,5,5
45_7ecb_1,5,5
36_9ecbplus_2,5,5
41_5ecbplus_2,5,5
42_1ecbplus_2,5,5
19_14ecb_3,5,5
32_1ecb_0,5,5
1_11ecbplus_4,5,5
1_19ecbplus_2,5,5
3_2ecbplus_3,5,5
6_3ecbplus_3,5,5
8_8ecbplus_2,5,5
8_9ecbplus_2,5,5
11_1ecbplus_2,5,5
20_3ecbplus_3,5,5
20_5ecbplus_2,5,5
22_13ecbplus_3,5,5
33_10ecbplus_2,5,5
12_12ecb_0,5,4
12_1ecb_0,5,4
21_12ecb_1,5,4
23_6ecb_0,5,4
34_6ecb_1,5,4
5_1ecbplus_2,5,4
18_6ecbplus_2,5,4
21_3ecbplus_3,5,4
41_2ecb_0,5,4
45_1ecb_4,5,4
36_11ecbplus_3,5,4
39_2ecbplus_0,5,4
43_13ecbplus_4,5,4
45_10ecbplus_2,5,4
45_11ecbplus_3,5,4
45_3ecbplus_3,5,4
45_6ecbplus_2,5,4
45_9ecbplus_1,5,4
1_17ecb_2,5,4
7_2ecb_0,5,4
7_9ecb_0,5,4
13_11ecb_0,5,4
19_6ecb_5,5,4
20_4ecb_1,5,4
28_3ecb_1,5,4
29_11ecb_3,5,4
29_1ecb_2,5,4
31_7ecb_20,5,4
1_15ecbplus_2,5,4
1_8ecbplus_5,5,4
9_3ecbplus_1,5,4
9_9ecbplus_0,5,4
16_7ecbplus_3,5,4
19_6ecbplus_3,5,4
22_1ecbplus_6,5,4
25_15ecbplus_3,5,4
27_6ecbplus_2,5,4
28_2ecbplus_3,5,4
29_7ecbplus_0,5,4
32_3ecbplus_2,5,4
2_2ecb_4,5,3
12_16ecb_0,5,3
12_7ecb_0,5,3
18_8ecb_0,5,3
23_5ecb_0,5,3
23_8ecb_0,5,3
34_9ecb_2,5,3
35_3ecb_2,5,3
5_4ecbplus_2,5,3
5_9ecbplus_9,5,3
12_7ecbplus_2,5,3
40_3ecb_0,5,3
40_6ecb_0,5,3
41_8ecb_0,5,3
42_3ecb_0,5,3
43_6ecb_5,5,3
36_1ecbplus_3,5,3
42_2ecbplus_2,5,3
42_5ecbplus_2,5,3
42_9ecbplus_2,5,3
45_10ecbplus_3,5,3
45_11ecbplus_4,5,3
45_6ecbplus_3,5,3
1_6ecb_0,5,3
3_7ecb_0,5,3
3_9ecb_0,5,3
7_10ecb_0,5,3
8_1ecb_0,5,3
8_5ecb_0,5,3
10_7ecb_2,5,3
11_11ecb_0,5,3
22_2ecb_0,5,3
25_2ecb_2,5,3
26_10ecb_0,5,3
26_12ecb_0,5,3
27_1ecb_4,5,3
27_1ecb_2,5,3
28_12ecb_2,5,3
28_1ecb_1,5,3
29_9ecb_1,5,3
30_12ecb_1,5,3
30_1ecb_1,5,3
30_2ecb_0,5,3
30_5ecb_1,5,3
31_3ecb_1,5,3
31_5ecb_2,5,3
31_6ecb_0,5,3
33_4ecb_1,5,3
24_10ecbplus_1,5,3
24_3ecbplus_1,5,3
24_5ecbplus_3,5,3
24_8ecbplus_2,5,3
24_9ecbplus_1,5,3
28_4ecbplus_4,5,3
28_7ecbplus_5,5,3
28_8ecbplus_4,5,3
28_9ecbplus_4,5,3
29_5ecbplus_5,5,3
30_10ecbplus_3,5,3
31_6ecbplus_3,5,3
32_10ecbplus_3,5,3
5_4ecb_2,5,2
21_1ecb_3,5,2
21_9ecb_1,5,2
34_2ecbplus_2,5,2
34_9ecbplus_4,5,2
36_5ecb_1,5,2
41_7ecb_0,5,2
42_1ecb_0,5,2
43_2ecb_0,5,2
39_3ecbplus_1,5,2
41_2ecbplus_3,5,2
44_11ecbplus_4,5,2
1_10ecb_3,5,2
1_11ecb_0,5,2
1_8ecb_1,5,2
8_3ecb_0,5,2
10_8ecb_0,5,2
25_2ecb_3,5,2
26_9ecb_1,5,2
28_3ecb_3,5,2
31_1ecb_0,5,2
32_2ecb_0,5,2
3_5ecbplus_4,5,2
9_13ecbplus_13,5,2
10_13ecbplus_2,5,2
16_3ecbplus_6,5,2
20_4ecbplus_2,5,2
24_2ecbplus_1,5,2
42_9ecb_0,5,1
43_1ecb_1,5,1
43_4ecb_1,5,1
43_4ecbplus_4,5,1
43_6ecbplus_6,5,1
9_1ecb_1,5,1
24_15ecb_0,5,1
27_2ecb_2,5,1
27_6ecb_1,5,1
3_11ecbplus_2,5,1
10_4ecbplus_5,5,1
28_5ecbplus_3,5,1
39_10ecb_2,5,0
1_10ecbplus_2,4,10
28_1ecbplus_3,4,8
12_5ecb_0,4,7
1_21ecbplus_2,4,7
18_5ecb_0,4,6
12_5ecbplus_2,4,6
12_6ecbplus_2,4,6
12_9ecbplus_2,4,6
21_5ecbplus_2,4,6
21_9ecbplus_2,4,6
45_1ecb_0,4,6
45_4ecb_1,4,6
45_6ecb_2,4,6
45_6ecb_3,4,6
44_12ecbplus_2,4,6
1_7ecb_4,4,6
1_16ecbplus_2,4,6
7_5ecbplus_2,4,6
28_3ecbplus_2,4,6
28_7ecbplus_3,4,6
28_8ecbplus_2,4,6
2_8ecb_0,4,5
18_15ecb_0,4,5
18_7ecb_0,4,5
23_9ecb_0,4,5
2_2ecbplus_2,4,5
2_6ecbplus_2,4,5
2_9ecbplus_1,4,5
18_7ecbplus_2,4,5
37_2ecb_0,4,5
41_9ecb_0,4,5
41_7ecbplus_2,4,5
41_8ecbplus_3,4,5
45_4ecbplus_1,4,5
13_1ecb_0,4,5
19_10ecb_2,4,5
19_12ecb_1,4,5
25_4ecb_2,4,5
25_7ecb_0,4,5
28_6ecb_0,4,5
32_5ecb_0,4,5
3_4ecbplus_1,4,5
4_10ecbplus_1,4,5
6_2ecbplus_4,4,5
6_4ecbplus_2,4,5
20_1ecbplus_2,4,5
20_8ecbplus_2,4,5
22_10ecbplus_1,4,5
22_7ecbplus_2,4,5
26_6ecbplus_2,4,5
31_1ecbplus_2,4,5
33_3ecbplus_7,4,5
2_11ecb_0,4,4
12_9ecb_0,4,4
18_6ecb_1,4,4
18_9ecb_0,4,4
21_8ecb_0,4,4
23_7ecb_0,4,4
2_7ecbplus_2,4,4
21_14ecbplus_2,4,4
21_2ecbplus_2,4,4
21_4ecbplus_3,4,4
23_11ecbplus_11,4,4
35_10ecbplus_2,4,4
35_1ecbplus_2,4,4
35_7ecbplus_2,4,4
36_1ecb_1,4,4
36_7ecb_2,4,4
37_6ecb_0,4,4
38_3ecb_1,4,4
43_3ecb_1,4,4
36_4ecbplus_2,4,4
42_8ecbplus_2,4,4
1_5ecb_2,4,4
4_7ecb_2,4,4
13_8ecb_0,4,4
16_3ecb_0,4,4
19_2ecb_1,4,4
19_8ecb_2,4,4
20_1ecb_1,4,4
22_6ecb_0,4,4
26_13ecb_1,4,4
26_2ecb_0,4,4
26_3ecb_0,4,4
26_3ecb_2,4,4
26_6ecb_0,4,4
26_7ecb_2,4,4
27_1ecb_1,4,4
27_8ecb_1,4,4
30_11ecb_1,4,4
30_3ecb_2,4,4
1_20ecbplus_3,4,4
3_6ecbplus_3,4,4
4_1ecbplus_3,4,4
6_10ecbplus_3,4,4
6_6ecbplus_3,4,4
19_3ecbplus_0,4,4
20_7ecbplus_1,4,4
22_5ecbplus_2,4,4
22_6ecbplus_2,4,4
25_8ecbplus_2,4,4
26_7ecbplus_2,4,4
27_6ecbplus_1,4,4
28_4ecbplus_2,4,4
32_1ecbplus_3,4,4
33_2ecbplus_3,4,4
33_8ecbplus_2,4,4
2_5ecb_1,4,3
12_13ecb_0,4,3
12_19ecb_1,4,3
12_3ecb_0,4,3
18_13ecb_1,4,3
21_11ecb_2,4,3
34_10ecb_4,4,3
34_1ecb_0,4,3
2_3ecbplus_2,4,3
21_5ecbplus_5,4,3
38_1ecb_0,4,3
39_6ecb_1,4,3
43_6ecb_1,4,3
44_1ecb_2,4,3
45_3ecb_0,4,3
45_7ecb_0,4,3
38_6ecbplus_2,4,3
39_11ecbplus_4,4,3
39_2ecbplus_3,4,3
40_10ecbplus_2,4,3
42_3ecbplus_18,4,3
42_4ecbplus_7,4,3
43_14ecbplus_4,4,3
1_15ecb_1,4,3
1_6ecb_1,4,3
4_14ecb_0,4,3
8_2ecb_0,4,3
9_7ecb_0,4,3
11_3ecb_0,4,3
24_2ecb_0,4,3
25_11ecb_0,4,3
26_5ecb_0,4,3
27_11ecb_2,4,3
28_12ecb_4,4,3
28_2ecb_0,4,3
29_7ecb_1,4,3
30_9ecb_1,4,3
31_2ecb_1,4,3
31_8ecb_2,4,3
31_9ecb_16,4,3
32_4ecb_2,4,3
7_3ecbplus_3,4,3
8_6ecbplus_2,4,3
8_7ecbplus_4,4,3
10_2ecbplus_1,4,3
11_3ecbplus_2,4,3
13_6ecbplus_2,4,3
16_1ecbplus_4,4,3
19_4ecbplus_0,4,3
22_11ecbplus_2,4,3
24_6ecbplus_2,4,3
26_10ecbplus_2,4,3
27_7ecbplus_3,4,3
27_7ecbplus_1,4,3
29_6ecbplus_7,4,3
30_10ecbplus_1,4,3
30_5ecbplus_2,4,3
32_3ecbplus_3,4,3
32_5ecbplus_3,4,3
33_4ecbplus_1,4,3
33_5ecbplus_5,4,3
2_9ecb_1,4,2
5_11ecb_0,4,2
5_14ecb_0,4,2
5_5ecb_0,4,2
12_4ecb_0,4,2
21_7ecb_1,4,2
34_16ecb_0,4,2
2_8ecbplus_3,4,2
5_5ecbplus_1,4,2
18_10ecbplus_5,4,2
21_6ecbplus_8,4,2
34_1ecbplus_4,4,2
34_4ecbplus_2,4,2
34_9ecbplus_2,4,2
39_14ecb_0,4,2
41_1ecb_2,4,2
41_4ecb_4,4,2
41_9ecb_1,4,2
42_5ecb_0,4,2
42_6ecb_0,4,2
43_1ecb_2,4,2
45_1ecb_3,4,2
39_10ecbplus_3,4,2
39_11ecbplus_2,4,2
39_7ecbplus_3,4,2
1_10ecb_0,4,2
1_11ecb_2,4,2
1_14ecb_1,4,2
1_1ecb_1,4,2
1_3ecb_1,4,2
3_5ecb_0,4,2
6_6ecb_0,4,2
7_7ecb_0,4,2
8_4ecb_0,4,2
8_8ecb_0,4,2
9_6ecb_5,4,2
11_5ecb_0,4,2
16_1ecb_0,4,2
19_1ecb_1,4,2
20_2ecb_1,4,2
22_3ecb_0,4,2
24_14ecb_0,4,2
24_7ecb_0,4,2
26_1ecb_0,4,2
26_5ecb_1,4,2
28_11ecb_3,4,2
31_11ecb_1,4,2
32_3ecb_4,4,2
1_14ecbplus_0,4,2
1_7ecbplus_3,4,2
1_9ecbplus_1,4,2
8_3ecbplus_5,4,2
24_11ecbplus_3,4,2
25_9ecbplus_2,4,2
26_4ecbplus_9,4,2
27_1ecbplus_2,4,2
27_8ecbplus_6,4,2
28_12ecbplus_4,4,2
28_6ecbplus_4,4,2
31_5ecbplus_3,4,2
33_7ecbplus_2,4,2
34_12ecb_1,4,1
34_7ecb_0,4,1
36_6ecb_3,4,1
39_13ecb_1,4,1
39_2ecb_0,4,1
42_13ecb_0,4,1
42_7ecb_1,4,1
43_3ecb_25,4,1
44_6ecb_1,4,1
45_2ecb_1,4,1
45_6ecb_0,4,1
42_6ecbplus_0,4,1
43_14ecbplus_0,4,1
43_3ecbplus_14,4,1
3_4ecb_0,4,1
3_8ecb_0,4,1
4_10ecb_0,4,1
4_7ecb_0,4,1
6_3ecb_0,4,1
29_2ecb_1,4,1
29_4ecb_4,4,1
30_2ecb_1,4,1
10_19ecbplus_2,4,1
10_21ecbplus_2,4,1
32_4ecbplus_3,4,1
32_7ecbplus_2,4,1
32_9ecbplus_5,4,1
27_9ecb_5,4,0
8_4ecbplus_1,3,10
37_10ecbplus_3,3,7
1_13ecbplus_2,3,7
28_5ecbplus_2,3,7
18_4ecb_0,3,6
21_1ecbplus_2,3,6
37_11ecbplus_3,3,6
37_3ecbplus_2,3,6
45_2ecbplus_2,3,6
45_7ecbplus_0,3,6
7_4ecbplus_2,3,6
19_2ecbplus_2,3,6
19_5ecbplus_0,3,6
28_6ecbplus_2,3,6
29_5ecbplus_4,3,6
29_9ecbplus_3,3,6
23_1ecb_0,3,5
35_2ecb_1,3,5
21_13ecbplus_0,3,5
37_7ecb_0,3,5
45_6ecb_1,3,5
36_2ecbplus_4,3,5
37_12ecbplus_2,3,5
37_5ecbplus_2,3,5
41_10ecbplus_2,3,5
41_2ecbplus_2,3,5
45_5ecbplus_1,3,5
13_4ecb_0,3,5
33_2ecb_0,3,5
33_4ecb_0,3,5
6_1ecbplus_6,3,5
16_1ecbplus_3,3,5
19_8ecbplus_3,3,5
20_6ecbplus_2,3,5
33_2ecbplus_0,3,5
33_6ecbplus_1,3,5
33_9ecbplus_2,3,5
2_6ecb_1,3,4
18_12ecb_0,3,4
18_3ecb_0,3,4
2_3ecbplus_3,3,4
2_4ecbplus_2,3,4
2_7ecbplus_3,3,4
12_2ecbplus_2,3,4
23_10ecbplus_12,3,4
23_5ecbplus_12,3,4
35_4ecbplus_3,3,4
37_1ecb_1,3,4
40_4ecb_0,3,4
42_12ecb_0,3,4
43_5ecb_2,3,4
37_13ecbplus_3,3,4
37_14ecbplus_2,3,4
37_2ecbplus_2,3,4
42_10ecbplus_3,3,4
42_7ecbplus_3,3,4
45_1ecbplus_3,3,4
45_5ecbplus_0,3,4
4_6ecb_0,3,4
24_13ecb_0,3,4
25_5ecb_1,3,4
25_9ecb_1,3,4
28_9ecb_0,3,4
30_4ecb_1,3,4
1_11ecbplus_1,3,4
1_13ecbplus_0,3,4
16_4ecbplus_0,3,4
20_8ecbplus_0,3,4
22_8ecbplus_2,3,4
25_13ecbplus_5,3,4
26_1ecbplus_5,3,4
26_8ecbplus_4,3,4
27_4ecbplus_2,3,4
30_1ecbplus_3,3,4
30_4ecbplus_3,3,4
30_4ecbplus_2,3,4
30_8ecbplus_3,3,4
30_8ecbplus_4,3,4
31_4ecbplus_9,3,4
32_9ecbplus_2,3,4
33_1ecbplus_7,3,4
12_17ecb_0,3,3
12_6ecb_0,3,3
12_8ecb_0,3,3
18_2ecb_0,3,3
18_3ecb_1,3,3
21_2ecbplus_3,3,3
35_10ecbplus_3,3,3
35_11ecbplus_1,3,3
35_1ecbplus_3,3,3
35_7ecbplus_3,3,3
36_8ecb_1,3,3
37_1ecb_4,3,3
37_3ecb_0,3,3
38_1ecb_3,3,3
40_10ecb_0,3,3
42_11ecb_0,3,3
43_3ecb_3,3,3
44_4ecb_2,3,3
44_7ecb_1,3,3
44_7ecb_0,3,3
38_10ecbplus_3,3,3
38_1ecbplus_2,3,3
38_2ecbplus_3,3,3
38_5ecbplus_3,3,3
38_9ecbplus_2,3,3
42_4ecbplus_3,3,3
1_1ecb_2,3,3
1_2ecb_2,3,3
1_2ecb_0,3,3
1_4ecb_2,3,3
3_1ecb_0,3,3
7_11ecb_1,3,3
10_2ecb_0,3,3
11_1ecb_0,3,3
13_12ecb_0,3,3
13_14ecb_0,3,3
13_18ecb_0,3,3
13_3ecb_0,3,3
16_2ecb_0,3,3
19_11ecb_4,3,3
19_3ecb_1,3,3
19_7ecb_2,3,3
25_10ecb_2,3,3
25_12ecb_0,3,3
25_14ecb_1,3,3
26_1ecb_1,3,3
26_7ecb_0,3,3
28_10ecb_0,3,3
28_2ecb_1,3,3
29_10ecb_0,3,3
30_14ecb_0,3,3
30_6ecb_1,3,3
30_7ecb_1,3,3
30_9ecb_2,3,3
31_8ecb_1,3,3
33_5ecb_2,3,3
1_19ecbplus_3,3,3
1_1ecbplus_2,3,3
1_20ecbplus_2,3,3
3_5ecbplus_0,3,3
4_5ecbplus_5,3,3
7_10ecbplus_1,3,3
7_11ecbplus_2,3,3
7_1ecbplus_2,3,3
7_2ecbplus_3,3,3
7_4ecbplus_0,3,3
7_9ecbplus_2,3,3
9_12ecbplus_0,3,3
9_4ecbplus_1,3,3
13_7ecbplus_3,3,3
13_9ecbplus_2,3,3
20_6ecbplus_3,3,3
20_9ecbplus_2,3,3
22_1ecbplus_5,3,3
25_10ecbplus_2,3,3
25_11ecbplus_3,3,3
25_5ecbplus_2,3,3
25_6ecbplus_2,3,3
28_4ecbplus_5,3,3
29_1ecbplus_0,3,3
29_2ecbplus_0,3,3
29_3ecbplus_0,3,3
29_4ecbplus_0,3,3
29_5ecbplus_0,3,3
29_6ecbplus_0,3,3
29_8ecbplus_0,3,3
29_9ecbplus_0,3,3
30_6ecbplus_3,3,3
30_6ecbplus_1,3,3
31_2ecbplus_13,3,3
32_10ecbplus_0,3,3
32_11ecbplus_0,3,3
2_3ecb_1,3,2
2_4ecb_2,3,2
5_10ecb_0,3,2
5_2ecb_0,3,2
12_14ecb_0,3,2
12_15ecb_0,3,2
21_2ecb_1,3,2
21_6ecb_2,3,2
23_10ecb_0,3,2
34_12ecb_0,3,2
34_15ecb_0,3,2
5_3ecbplus_0,3,2
5_5ecbplus_6,3,2
5_7ecbplus_2,3,2
18_5ecbplus_0,3,2
34_11ecbplus_2,3,2
36_2ecb_4,3,2
36_3ecb_2,3,2
38_4ecb_1,3,2
39_12ecb_0,3,2
39_5ecb_0,3,2
41_1ecb_0,3,2
41_9ecb_6,3,2
42_10ecb_0,3,2
42_6ecb_1,3,2
43_5ecb_3,3,2
43_7ecb_5,3,2
45_8ecb_0,3,2
36_5ecbplus_8,3,2
39_9ecbplus_3,3,2
40_9ecbplus_3,3,2
41_11ecbplus_2,3,2
42_5ecbplus_0,3,2
45_2ecbplus_3,3,2
45_4ecbplus_2,3,2
45_8ecbplus_3,3,2
1_19ecb_3,3,2
1_5ecb_1,3,2
4_12ecb_0,3,2
4_8ecb_0,3,2
8_6ecb_0,3,2
8_7ecb_0,3,2
9_4ecb_0,3,2
10_3ecb_0,3,2
10_4ecb_0,3,2
11_9ecb_0,3,2
13_15ecb_0,3,2
13_2ecb_0,3,2
14_5ecb_2,3,2
24_1ecb_0,3,2
24_3ecb_0,3,2
26_13ecb_2,3,2
26_2ecb_1,3,2
27_17ecb_2,3,2
28_11ecb_1,3,2
28_4ecb_0,3,2
28_8ecb_1,3,2
28_9ecb_1,3,2
29_6ecb_1,3,2
31_11ecb_0,3,2
32_1ecb_3,3,2
33_1ecb_6,3,2
33_3ecb_46,3,2
1_8ecbplus_6,3,2
1_9ecbplus_3,3,2
3_10ecbplus_3,3,2
3_3ecbplus_2,3,2
3_9ecbplus_4,3,2
4_10ecbplus_0,3,2
4_11ecbplus_5,3,2
4_8ecbplus_5,3,2
6_2ecbplus_0,3,2
7_6ecbplus_2,3,2
9_2ecbplus_1,3,2
9_5ecbplus_0,3,2
9_6ecbplus_0,3,2
9_7ecbplus_0,3,2
10_17ecbplus_1,3,2
10_20ecbplus_1,3,2
13_13ecbplus_2,3,2
16_2ecbplus_4,3,2
16_9ecbplus_3,3,2
22_4ecbplus_2,3,2
22_9ecbplus_8,3,2
24_4ecbplus_1,3,2
24_6ecbplus_3,3,2
27_5ecbplus_0,3,2
27_5ecbplus_2,3,2
29_12ecbplus_0,3,2
29_8ecbplus_2,3,2
30_13ecbplus_1,3,2
32_10ecbplus_2,3,2
32_1ecbplus_0,3,2
32_4ecbplus_1,3,2
32_4ecbplus_2,3,2
32_6ecbplus_0,3,2
18_14ecb_1,3,1
34_10ecb_6,3,1
34_14ecb_0,3,1
34_3ecb_0,3,1
35_9ecb_1,3,1
21_10ecbplus_2,3,1
23_7ecbplus_4,3,1
34_7ecbplus_3,3,1
39_14ecb_1,3,1
39_1ecb_0,3,1
39_3ecb_0,3,1
41_4ecb_2,3,1
42_2ecb_2,3,1
44_3ecb_6,3,1
44_5ecb_1,3,1
36_4ecbplus_0,3,1
36_5ecbplus_7,3,1
39_1ecbplus_2,3,1
39_8ecbplus_0,3,1
39_8ecbplus_2,3,1
41_1ecbplus_2,3,1
42_1ecbplus_0,3,1
43_14ecbplus_1,3,1
43_7ecbplus_0,3,1
44_6ecbplus_2,3,1
1_7ecb_5,3,1
3_6ecb_0,3,1
4_1ecb_0,3,1
6_5ecb_1,3,1
7_6ecb_1,3,1
13_13ecb_0,3,1
13_6ecb_0,3,1
14_6ecb_0,3,1
19_15ecb_2,3,1
22_1ecb_0,3,1
29_5ecb_1,3,1
33_2ecb_7,3,1
33_5ecb_19,3,1
33_5ecb_0,3,1
4_4ecbplus_0,3,1
4_8ecbplus_4,3,1
4_9ecbplus_2,3,1
10_3ecbplus_0,3,1
10_9ecbplus_5,3,1
16_6ecbplus_1,3,1
16_7ecbplus_1,3,1
27_3ecbplus_0,3,1
27_6ecbplus_0,3,1
31_4ecb_0,3,0
31_5ecbplus_6,3,0
18_11ecb_0,2,5
21_5ecbplus_0,2,5
21_8ecbplus_0,2,5
35_9ecbplus_3,2,5
40_8ecb_0,2,5
37_3ecbplus_0,2,5
37_6ecbplus_3,2,5
37_7ecbplus_2,2,5
45_12ecbplus_0,2,5
45_3ecbplus_2,2,5
45_9ecbplus_0,2,5
4_2ecb_0,2,5
13_9ecb_0,2,5
26_11ecb_1,2,5
26_13ecb_0,2,5
19_9ecbplus_0,2,5
22_11ecbplus_3,2,5
29_1ecbplus_4,2,5
18_14ecb_0,2,4
18_6ecb_19,2,4
21_10ecb_1,2,4
12_2ecbplus_0,2,4
18_3ecbplus_0,2,4
21_1ecbplus_0,2,4
21_7ecbplus_0,2,4
35_6ecbplus_0,2,4
35_6ecbplus_3,2,4
38_2ecb_0,2,4
40_1ecb_0,2,4
44_2ecb_0,2,4
36_1ecbplus_2,2,4
36_8ecbplus_2,2,4
37_4ecbplus_0,2,4
41_6ecbplus_0,2,4
4_9ecb_0,2,4
19_4ecb_11,2,4
20_2ecb_2,2,4
22_5ecb_1,2,4
25_3ecb_3,2,4
26_8ecb_0,2,4
26_9ecb_0,2,4
29_7ecb_6,2,4
30_3ecb_1,2,4
30_3ecb_3,2,4
1_16ecbplus_0,2,4
6_11ecbplus_2,2,4
6_4ecbplus_0,2,4
8_5ecbplus_2,2,4
14_9ecbplus_2,2,4
19_11ecbplus_0,2,4
22_10ecbplus_4,2,4
26_11ecbplus_4,2,4
26_2ecbplus_4,2,4
26_3ecbplus_5,2,4
28_10ecbplus_2,2,4
28_5ecbplus_4,2,4
30_2ecbplus_3,2,4
32_2ecbplus_0,2,4
32_9ecbplus_0,2,4
34_10ecb_0,2,3
34_11ecb_0,2,3
34_13ecb_1,2,3
35_1ecb_2,2,3
